2026-06-30 05:44:51 step=43356223 FTT=45.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.67% 4.49% 7.81% 3.94% 7.50% 4.74% 0.96% 5.80% 7.86% 4.19% 6.78% 4.04% 
2026-06-30 06:08:26 step=43832665 FTT=46.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.69% 4.59% 7.67% 3.80% 7.15% 4.56% 1.00% 6.33% 7.67% 4.16% 6.28% 3.83% 
2026-06-30 06:12:08 step=43832665 FTT=46.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.69% 4.59% 7.67% 3.80% 7.15% 4.56% 1.00% 6.33% 7.67% 4.16% 6.28% 3.83% 
2026-06-30 06:32:15 step=44309107 FTT=46.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.70% 4.54% 7.60% 3.71% 6.98% 4.57% 1.01% 6.06% 7.57% 4.04% 6.09% 3.76% 
2026-06-30 06:42:04 step=44309107 FTT=46.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.70% 4.54% 7.60% 3.71% 6.98% 4.57% 1.01% 6.06% 7.57% 4.04% 6.09% 3.76% 
2026-06-30 06:56:04 step=44785549 FTT=47.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.68% 4.41% 7.12% 3.75% 6.56% 4.41% 1.01% 6.18% 7.13% 3.98% 5.85% 3.73% 
2026-06-30 07:19:27 step=45261991 FTT=47.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.68% 4.20% 6.68% 3.73% 6.00% 4.11% 1.04% 6.40% 6.63% 4.09% 5.30% 3.53% 
2026-06-30 07:32:08 step=45261991 FTT=47.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.68% 4.20% 6.68% 3.73% 6.00% 4.11% 1.04% 6.40% 6.63% 4.09% 5.30% 3.53% 
2026-06-30 07:42:11 step=45261991 FTT=47.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.68% 4.20% 6.68% 3.73% 6.00% 4.11% 1.04% 6.40% 6.63% 4.09% 5.30% 3.53% 
2026-06-30 07:44:47 step=45738433 FTT=48.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.68% 4.38% 6.60% 3.68% 5.77% 4.01% 1.03% 6.11% 6.48% 4.09% 5.08% 3.42% 
