kind,path,step,ftt,rho_mean,rho_rms,rho_std,rho_max_abs,wall_rms,wall_max_abs
source,phase2_generatecheckpoint/oldcheckpoint_Re5600_step_12932001,12932001,79.75210952586013,0.9999998508261922,5.830623843162487e-05,5.830604760417869e-05,0.00038746833573855,6.39658453144561e-05,0.00038746833573855
restart,restart/checkpoint/step_19001,19001,0.234613163432288,0.9999972201791344,6.28317736525639e-05,6.277025072661744e-05,0.0004572862890468432,7.865559958990587e-05,0.0004572862890468432
restart,restart/checkpoint/step_20001,20001,0.24696057480181,0.9999968277133728,6.855344109302532e-05,6.848000352840068e-05,0.00040344836010874907,8.36343177702389e-05,0.00040344836010874907
restart,restart/checkpoint/step_21001,21001,0.259307986171332,0.9999975822195724,6.554481273713056e-05,6.55002046909011e-05,0.00042581174884825934,8.112568175052515e-05,0.00042581174884825934
restart,restart/checkpoint/step_22001,22001,0.271655397540854,0.9999966159697895,6.61080391639352e-05,6.602136912876198e-05,0.00040873832773935526,8.038498462339673e-05,0.00040873832773935526
restart,restart/checkpoint/step_23001,23001,0.284002808910376,0.9999979762330207,6.849616601113294e-05,6.846626268051677e-05,0.0003905651843201241,8.28287112222371e-05,0.0003905651843201241
restart,restart/checkpoint/step_24001,24001,0.296350220279898,0.9999966487948097,6.531045415223795e-05,6.522441908781382e-05,0.00042035049307620476,8.126241626196267e-05,0.00042035049307620476
restart,restart/checkpoint/step_47001,47001,0.580340681778905,1.0000002891415112,6.295585342954106e-05,6.295518944637079e-05,0.0008116065865748645,8.488914534765346e-05,0.0008116065865748645
restart,restart/checkpoint/step_48001,48001,0.592688093148427,0.9999999459665755,6.398883536054278e-05,6.398881254709811e-05,0.0006933212206956529,8.449043802724795e-05,0.0006933212206956529
restart,restart/checkpoint/step_49001,49001,0.605035504517949,1.0000009360385458,6.151518544408356e-05,6.150806347188512e-05,0.0006048807162017944,8.238880932124762e-05,0.0006048807162017944
restart,restart/checkpoint/step_50001,50001,0.617382915887471,1.0000004565216642,6.421128879207386e-05,6.420966591027444e-05,0.0005225598937690368,8.326671565134462e-05,0.0005225598937690368
restart,restart/checkpoint/step_51001,51001,0.629730327256993,1.0000010086540814,6.06360183807072e-05,6.062762853691213e-05,0.0006334058659824837,8.167424796828267e-05,0.0006334058659824837
