kind,path,step,ftt,rho_mean,rho_rms,rho_std,rho_max_abs,wall_rms,wall_max_abs
source,phase2_generatecheckpoint/oldcheckpoint_Re5600_step_24913001,24913001,153.63936210412163,0.9999997961676836,6.778320920270796e-05,6.778290272778835e-05,0.0005712861196127683,7.82182999288374e-05,0.0003599624533248136
restart,restart/checkpoint/step_109001,109001,0.37831322749096,0.9999998026020751,6.12854868763729e-05,6.128516897042394e-05,0.0005756370657423737,6.895339522763113e-05,0.00029561847711156997
restart,restart/checkpoint/step_110001,110001,0.381783959204348,0.9999998078430865,6.093562666805134e-05,6.0935323689537764e-05,0.0005684039388322848,6.879690223802493e-05,0.00029413652049292693
restart,restart/checkpoint/step_111001,111001,0.385254690917735,0.9999998077639071,6.096337018429376e-05,6.096306709403643e-05,0.0005721557531087607,6.866272170862238e-05,0.00029016478433030457
restart,restart/checkpoint/step_112001,112001,0.388725422631123,0.9999998072695906,6.125835668317903e-05,6.125805349921552e-05,0.0005761514167682558,6.891800406821685e-05,0.00029576370454642564
restart,restart/checkpoint/step_113001,113001,0.392196154344511,0.999999799159344,6.15410793947984e-05,6.154075166999167e-05,0.0005941059574003926,6.904021499669383e-05,0.0002866188428487515
restart,restart/checkpoint/step_114001,114001,0.395666886057898,0.9999998006559779,6.231359076234864e-05,6.23132719062243e-05,0.0005599344833565612,6.980829746896692e-05,0.0002869232361546459
restart,restart/checkpoint/step_115001,115001,0.399137617771286,0.9999998009226049,6.237976667640665e-05,6.237944901001583e-05,0.0005762227828028932,6.98436184272524e-05,0.0002789577143994526
restart,restart/checkpoint/step_116001,116001,0.402608349484673,0.9999998013092732,6.190361544052761e-05,6.190329657299147e-05,0.0005471815508116817,6.909949919443768e-05,0.00027053073700256114
restart,restart/checkpoint/step_117001,117001,0.406079081198061,0.9999998056037702,6.110734433372584e-05,6.110703512383893e-05,0.0005552069840633056,6.849542834370588e-05,0.00026557764160428654
restart,restart/checkpoint/step_120001,120001,0.416491276338224,0.9999998038417515,6.084776145012678e-05,6.084744526627879e-05,0.0005334914264022439,6.793230353251782e-05,0.0002840909315324769
restart,restart/checkpoint/step_121001,121001,0.419962008051611,0.9999998053745214,6.128572086865017e-05,6.128541183114627e-05,0.0005541651591715047,6.799986752512922e-05,0.00028006701771865483
restart,restart/checkpoint/step_122001,122001,0.423432739764999,0.9999998032255115,6.195416320577456e-05,6.19538507142882e-05,0.0005842791025723049,6.88978411584702e-05,0.0002880286089880224
restart,restart/checkpoint/step_123001,123001,0.426903471478387,0.999999805210194,6.188486355923952e-05,6.188455699669877e-05,0.0006028850249645279,6.868748452716247e-05,0.00028894798877532324
restart,restart/checkpoint/step_124001,124001,0.430374203191774,0.9999998046331772,6.121201393215007e-05,6.12117021608936e-05,0.0006593848376211797,6.779905086650145e-05,0.000272375671748315
restart,restart/checkpoint/step_128001,128001,0.444257130045324,0.9999998038499871,6.039415236161147e-05,6.0393833829699856e-05,0.0006104966328369654,6.682486413932296e-05,0.00029892977815704214
restart,restart/checkpoint/step_129001,129001,0.447727861758712,0.9999998052303044,6.112816006869794e-05,6.112784977528302e-05,0.0005974925146400301,6.796854788179687e-05,0.0003419954592811525
restart,restart/checkpoint/step_130001,130001,0.4511985934721,0.9999998120978507,6.135349476434421e-05,6.135320702767363e-05,0.0006672949768048442,6.746801715543831e-05,0.00037746437957086876
restart,restart/checkpoint/step_131001,131001,0.454669325185487,0.9999998154193589,6.137235145121752e-05,6.137207388249709e-05,0.0006791004864973305,6.790386276810299e-05,0.00039892295055365956
restart,restart/checkpoint/step_132001,132001,0.458140056898875,0.9999998109336736,6.100915028891322e-05,6.100885733153509e-05,0.0007574130510287214,6.760540592364012e-05,0.000421632492630275
restart,restart/checkpoint/step_136001,136001,0.472022983752425,0.9999998105220719,6.0413896303583876e-05,6.0413599170179454e-05,0.0007122691613777876,6.711008733846995e-05,0.00048189984843727274
restart,restart/checkpoint/step_137001,137001,0.475493715465813,0.9999998101659454,6.0923779242185866e-05,6.092348348692655e-05,0.0007097208339789107,6.749764080083112e-05,0.0004805018406242034
restart,restart/checkpoint/step_138001,138001,0.4789644471792,0.9999998157173932,6.111945331001539e-05,6.111917549211468e-05,0.0006855333260181729,6.758464390583216e-05,0.0004841070199546049
