field,xh,y_peak,dns_peak_krank,gilbm_at_ypk,gilbm_ownpk,pct_deficit,mglet_peak,mglet_pct
uu,0.05,1.0389217,0.08966463,0.09326271061081289,0.0931730243160936,-4.01282045195847,0.0903395,-3.1501733917949992
uu,0.5,1.0377108,0.10635732,0.11170507037709985,0.11186140456284209,-5.028098091508745,0.1077057,-3.860051709180896
uu,1.0,1.042354,0.092844623,0.09618153727382076,0.09622247681153763,-3.594084574850128,0.0950027,-1.1485416321539057
uu,2.0,0.99776837,0.084027192,0.08568525149915932,0.08613212598234098,-1.9732415896503057,0.0893406,3.7772203091595844
uu,3.0,0.92921028,0.090377486,0.0853971159300927,0.08571109726630405,5.51063134230941,0.0934265,8.30949346924088
uu,4.0,0.84113182,0.083132391,0.0770066203051028,0.0770451295877342,7.36869302231088,0.0856529,10.089650370163408
uu,5.0,0.92921028,0.070786761,0.06660214941192989,0.06771100645237921,5.9115737589266315,0.0750095,10.383668907052016
uu,6.0,1.0210608,0.061146449,0.058406379444162576,0.059839573250908905,4.4811589236153715,0.0641279,7.471032155805005
uu,7.0,1.0591654,0.0534136,0.05083430252353358,0.05138782217494882,4.828915250921893,0.0553555,8.472460731060087
uu,8.0,1.3364036,0.042578568,0.039920263453447145,0.039941627486255134,6.243292509397809,0.0448054,10.919239656906418
vv,0.05,1.380337,0.033632911,0.03303289801369776,0.03309536756133786,1.784005512642775,0.0328079,-0.75853371201861
vv,0.5,1.0066951,0.038003032,0.041816167223014726,0.04189465209637696,-10.033765787463292,0.0373065,-12.28057843592056
vv,1.0,0.99335926,0.054348272,0.058613254199289436,0.05870294806341945,-7.847502859501094,0.053007,-10.743384388219303
vv,2.0,0.92921028,0.050205799,0.05308529245433476,0.053586503898535934,-5.735380198480182,0.051891,-2.321225549376428
vv,3.0,0.77777649,0.046065711,0.04988472119685493,0.050233156046143035,-8.290353310415476,0.0457541,-9.050775237700872
vv,4.0,0.71687858,0.042586115,0.04414344701316883,0.04439957003008882,-3.6569008775954996,0.0412652,-6.908235257601411
vv,5.0,0.69714259,0.037277263,0.03718510357217204,0.03740540403043008,0.24722691638588112,0.0361829,-2.7312210747558425
vv,6.0,0.75719887,0.032293409,0.031730322436149094,0.031749121632908675,1.7436578586389184,0.0320099,0.9602537466983447
vv,7.0,0.89529358,0.028886377,0.028907907020195484,0.02890770790402241,-0.07453347366989964,0.0284288,-1.0942531981389052
vv,8.0,1.0733215,0.031866259,0.030935758550639555,0.03124285524154221,2.9200178450832444,0.0313572,0.5747871230417583
k,0.05,1.0434069,0.063245649,0.06551411947219704,0.06553272032850097,-3.586761315702587,0.0638714,-2.6144159239434837
k,0.5,1.0377108,0.096699053,0.10318466107323207,0.10316114200144708,-6.70700267688462,0.0974175,-5.912372006094907
k,1.0,1.0257754,0.10341453,0.10910764533108369,0.10907106149743066,-5.505140651979646,0.1032167,-5.424544621837404
k,2.0,0.92921028,0.09537401,0.09858350937052071,0.09873193509978286,-3.365171885423205,0.1005438,1.7871276587713714
k,3.0,0.81974737,0.095650807,0.09544956848580616,0.09561232676114644,0.21038872593500088,0.0978015,2.4108578723462957
k,4.0,0.7986274,0.087907791,0.08410612529321466,0.08412024347400068,4.324606116863219,0.0882049,4.6345895261859695
k,5.0,0.81974737,0.075387319,0.07296819843937671,0.07312404977551017,3.208922392668296,0.0765085,5.039499167841826
k,6.0,0.92921028,0.064894842,0.06400194639512106,0.06434925676853594,1.3759115167873117,0.0666539,3.6290945138213697
k,7.0,0.94091752,0.058230366,0.057215562302043055,0.05744324164368929,1.7427396866386584,0.058574,5.222641297242821
k,8.0,0.58264389,0.055951136,0.05784206593395718,0.05784659556903829,-3.379609547082622,0.0551485,3.0188919334793516
uv,0.05,1.5932855,-0.012477858,-0.010471052754568867,-0.010473665583934193,16.082930623438195,-0.0123571,15.487137513258828
uv,0.5,1.0296886,-0.032931931,-0.035015479136249174,-0.0350260896529565,-6.326832569426847,-0.0322964,-8.443789177612423
uv,1.0,1.0257754,-0.038183286,-0.04035783156140381,-0.040509207523225906,-5.695019442286378,-0.0380701,-6.393021756961294
uv,2.0,0.97469093,-0.032932278,-0.03529272754926766,-0.03540070008926538,-7.167586612950552,-0.0347169,-1.8728672546558396
uv,3.0,0.81974737,-0.032804256,-0.03283442954382969,-0.03284529888216501,-0.09198057663521163,-0.0328651,0.25219262521980085
uv,4.0,0.81974737,-0.029509964,-0.030300713101777964,-0.030369102032487726,-2.6796003606712797,-0.0295162,-2.7842244092903705
uv,5.0,0.84113182,-0.025075397,-0.026012064021149316,-0.02602622069385373,-3.7354025587284503,-0.0241072,-7.816370163626284
uv,6.0,0.95183587,-0.0211005,-0.02200950899940352,-0.022080553668678518,-4.307997437992074,-0.0207952,-6.181061001024553
uv,7.0,1.0111873,-0.019490238,-0.01972265241895014,-0.019739922019360357,-1.1924657818449353,-0.0195752,0.056726563829256144
uv,8.0,1.1808796,-0.018874722,-0.018553331363736675,-0.018561376416481964,1.7027569267686409,-0.0189644,2.568767056282335
