TITLE = "Sensitivity analysis"
VARIABLES = "j" "gamma" "dn_bot" "dn_top" "utau_crit_bot" "utau_crit_top" "margin_vs_raw_pct" "margin_vs_design_pct"
ZONE T="sensitivity", I=257, F=POINT
     0   2.852402 5.35857065e-03 5.35857065e-03 3.33244517e-02 3.33244517e-02    11.1524    11.1111
     1   2.852201 5.35926024e-03 5.35926024e-03 3.33201637e-02 3.33201637e-02    11.1394    11.1111
     2   2.851876 5.36040473e-03 5.36040473e-03 3.33130496e-02 3.33130496e-02    11.2532    11.1111
     3   2.851371 5.36212571e-03 5.36212571e-03 3.33023577e-02 3.33023577e-02    11.3077    11.1111
     4   2.850679 5.36455826e-03 5.36455826e-03 3.32872568e-02 3.32872568e-02    11.4467    11.1111
     5   2.849936 5.36781689e-03 5.36781689e-03 3.32670492e-02 3.32670492e-02    11.5176    11.1111
     6   2.849459 5.37195651e-03 5.37195651e-03 3.32414137e-02 3.32414137e-02    11.6255    11.1111
     7   2.849307 5.37693888e-03 5.37693888e-03 3.32106116e-02 3.32106116e-02    11.6547    11.1111
     8   2.849544 5.38261354e-03 5.38261354e-03 3.31755990e-02 3.31755990e-02    11.7146    11.1111
     9   2.850390 5.38871803e-03 5.38871803e-03 3.31380168e-02 3.31380168e-02    11.7092    11.1111
    10   2.852060 5.39489486e-03 5.39489486e-03 3.31000758e-02 3.31000758e-02    11.7262    11.1111
    11   2.854771 5.40072170e-03 5.40072170e-03 3.30643641e-02 3.30643641e-02    11.6942    11.1111
    12   2.858745 5.40575468e-03 5.40575468e-03 3.30335798e-02 3.30335798e-02    11.6872    11.1111
    13   2.864195 5.40958479e-03 5.40958479e-03 3.30101913e-02 3.30101913e-02    11.6497    11.1111
    14   2.871318 5.41190264e-03 5.41190264e-03 3.29960534e-02 3.29960534e-02    11.6311    11.1111
    15   2.880021 5.41255426e-03 5.41255426e-03 3.29920810e-02 3.29920810e-02    11.5898    11.1111
    16   2.890167 5.41156706e-03 5.41156706e-03 3.29980996e-02 3.29980996e-02    11.5855    11.1111
    17   2.901579 5.40913221e-03 5.40913221e-03 3.30129532e-02 3.30129532e-02    11.5699    11.1111
    18   2.914140 5.40555001e-03 5.40555001e-03 3.30348306e-02 3.30348306e-02    11.5756    11.1111
    19   2.927554 5.40116050e-03 5.40116050e-03 3.30616779e-02 3.30616779e-02    11.5618    11.1111
    20   2.941609 5.39628597e-03 5.39628597e-03 3.30915429e-02 3.30915429e-02    11.5759    11.1111
    21   2.956139 5.39119843e-03 5.39119843e-03 3.31227706e-02 3.31227706e-02    11.5687    11.1111
    22   2.971138 5.38611316e-03 5.38611316e-03 3.31540432e-02 3.31540432e-02    11.5727    11.1111
    23   2.986431 5.38119629e-03 5.38119629e-03 3.31843365e-02 3.31843365e-02    11.5400    11.1111
    24   3.001863 5.37657561e-03 5.37657561e-03 3.32128554e-02 3.32128554e-02    11.5326    11.1111
    25   3.017333 5.37234728e-03 5.37234728e-03 3.32389958e-02 3.32389958e-02    11.4878    11.1111
    26   3.032775 5.36857815e-03 5.36857815e-03 3.32623320e-02 3.32623320e-02    11.4668    11.1111
    27   3.048086 5.36530588e-03 5.36530588e-03 3.32826184e-02 3.32826184e-02    11.3979    11.1111
    28   3.063153 5.36254037e-03 5.36254037e-03 3.32997826e-02 3.32997826e-02    11.3709    11.1111
    29   3.077913 5.36026707e-03 5.36026707e-03 3.33139051e-02 3.33139051e-02    11.2971    11.1111
    30   3.092326 5.35845260e-03 5.35845260e-03 3.33251858e-02 3.33251858e-02    11.2838    11.1111
    31   3.106418 5.35705050e-03 5.35705050e-03 3.33339080e-02 3.33339080e-02    11.2098    11.1111
    32   3.120205 5.35600628e-03 5.35600628e-03 3.33404069e-02 3.33404069e-02    11.2157    11.1111
    33   3.133719 5.35526125e-03 5.35526125e-03 3.33450452e-02 3.33450452e-02    11.1548    11.1111
    34   3.146989 5.35475615e-03 5.35475615e-03 3.33481906e-02 3.33481906e-02    11.1622    11.1111
    35   3.160060 5.35443461e-03 5.35443461e-03 3.33501931e-02 3.33501931e-02    11.1211    11.1111
    36   3.172948 5.35424715e-03 5.35424715e-03 3.33513608e-02 3.33513608e-02    11.1300    11.1111
    37   3.185710 5.35401839e-03 5.35401839e-03 3.33527858e-02 3.33527858e-02    11.1111    11.1111
    38   3.198253 5.35412798e-03 5.35412798e-03 3.33521031e-02 3.33521031e-02    11.1240    11.1111
    39   3.210722 5.35415137e-03 5.35415137e-03 3.33519574e-02 3.33519574e-02    11.1152    11.1111
    40   3.223094 5.35421502e-03 5.35421502e-03 3.33515610e-02 3.33515610e-02    11.1292    11.1111
    41   3.235372 5.35431268e-03 5.35431268e-03 3.33509526e-02 3.33509526e-02    11.1260    11.1111
    42   3.247568 5.35443734e-03 5.35443734e-03 3.33501762e-02 3.33501762e-02    11.1396    11.1111
    43   3.259695 5.35457876e-03 5.35457876e-03 3.33492953e-02 3.33492953e-02    11.1356    11.1111
    44   3.271728 5.35472411e-03 5.35472411e-03 3.33483901e-02 3.33483901e-02    11.1365    11.1111
    45   3.283617 5.35486049e-03 5.35486049e-03 3.33475408e-02 3.33475408e-02    11.1273    11.1111
    46   3.295331 5.35497873e-03 5.35497873e-03 3.33468045e-02 3.33468045e-02    11.1266    11.1111
    47   3.306836 5.35507654e-03 5.35507654e-03 3.33461954e-02 3.33461954e-02    11.1192    11.1111
    48   3.318088 5.35516073e-03 5.35516073e-03 3.33456711e-02 3.33456711e-02    11.1149    11.1111
    49   3.329052 5.35521131e-03 5.35521131e-03 3.33453562e-02 3.33453562e-02    11.1111    11.1111
    50   3.339653 5.35536869e-03 5.35536869e-03 3.33443763e-02 3.33443763e-02    11.1164    11.1111
    51   3.349874 5.35556363e-03 5.35556363e-03 3.33431625e-02 3.33431625e-02    11.1247    11.1111
    52   3.359632 5.35589116e-03 5.35589116e-03 3.33411235e-02 3.33411235e-02    11.1420    11.1111
    53   3.368873 5.35642625e-03 5.35642625e-03 3.33377928e-02 3.33377928e-02    11.1653    11.1111
    54   3.377537 5.35726136e-03 5.35726136e-03 3.33325960e-02 3.33325960e-02    11.2039    11.1111
