TITLE = "gamma(y) for z+ < 0.9"
VARIABLES = "j" "y" "gamma" "zp_bot" "zp_top" "zp_max"
ZONE T="gamma_field", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
     0 -4.15767712e-09   2.852402   0.419916   0.899665   0.899665
     1 2.46093075e-02   2.852201   0.410468   0.899771   0.899771
     2 4.92188289e-02   2.851876   0.395322   0.898850   0.898850
     3 7.38279106e-02   2.851371   0.378914   0.898410   0.898410
     4 9.84377468e-02   2.850679   0.361269   0.897290   0.897290
     5 1.23048319e-01   2.849936   0.356638   0.896720   0.896720
     6 1.47663445e-01   2.849459   0.382763   0.895852   0.895852
     7 1.72279554e-01   2.849307   0.417976   0.895618   0.895618
     8 1.96887229e-01   2.849544   0.455660   0.895139   0.895139
     9 2.21496932e-01   2.850390   0.502811   0.895181   0.895181
    10 2.46139928e-01   2.852060   0.550242   0.895045   0.895045
    11 2.70776687e-01   2.854771   0.595443   0.895302   0.895302
    12 2.95376362e-01   2.858745   0.631466   0.895358   0.895358
    13 3.19941789e-01   2.864195   0.653752   0.895658   0.895658
    14 3.44633798e-01   2.871318   0.659751   0.895808   0.895808
    15 3.69267698e-01   2.880021   0.647830   0.896140   0.896140
    16 3.93841022e-01   2.890167   0.626811   0.896174   0.896174
    17 4.18366078e-01   2.901579   0.602936   0.896299   0.896299
    18 4.43041776e-01   2.914140   0.581555   0.896253   0.896253
    19 4.67671165e-01   2.927554   0.559795   0.896364   0.896364
    20 4.92255731e-01   2.941609   0.538176   0.896251   0.896251
    21 5.16839841e-01   2.956139   0.515189   0.896308   0.896308
    22 5.41695583e-01   2.971138   0.494478   0.896277   0.896277
    23 5.66735894e-01   2.986431   0.475006   0.896540   0.896540
    24 5.91912422e-01   3.001863   0.459216   0.896599   0.896599
    25 6.17245215e-01   3.017333   0.445349   0.896959   0.896959
    26 6.42790666e-01   3.032775   0.433896   0.897128   0.897128
    27 6.68545824e-01   3.048086   0.423674   0.897683   0.897683
    28 6.94456862e-01   3.063153   0.417148   0.897900   0.897900
    29 7.20554035e-01   3.077913   0.414024   0.898496   0.898496
    30 7.46848812e-01   3.092326   0.415699   0.898603   0.898603
    31 7.73348417e-01   3.106418   0.419886   0.899201   0.899201
    32 8.00033451e-01   3.120205   0.428940   0.899154   0.899154
    33 8.26903624e-01   3.133719   0.441470   0.899647   0.899647
    34 8.53957279e-01   3.146989   0.458450   0.899586   0.899586
    35 8.81228485e-01   3.160060   0.476471   0.899919   0.899919
    36 9.08696070e-01   3.172948   0.495711   0.899847   0.899847
    37 9.36351751e-01   3.185710   0.515822   0.900000   0.900000
    38 9.64192382e-01   3.198253   0.538237   0.899896   0.899896
    39 9.92251246e-01   3.210722   0.561647   0.899967   0.899967
    40 1.02052563e+00   3.223094   0.586095   0.899854   0.899854
    41 1.04898850e+00   3.235372   0.610298   0.899879   0.899879
    42 1.07763544e+00   3.247568   0.632788   0.899770   0.899770
    43 1.10649799e+00   3.259695   0.651562   0.899802   0.899802
    44 1.13559121e+00   3.271728   0.667915   0.899794   0.899794
    45 1.16487588e+00   3.283617   0.682791   0.899869   0.899869
    46 1.19436517e+00   3.295331   0.697621   0.899874   0.899874
    47 1.22407333e+00   3.306836   0.711923   0.899934   0.899934
    48 1.25399497e+00   3.318088   0.723794   0.899969   0.899969
    49 1.28412485e+00   3.329052   0.732501   0.900000   0.900000
    50 1.31447879e+00   3.339653   0.736513   0.899957   0.899957
    51 1.34507186e+00   3.349874   0.734274   0.899890   0.899890
    52 1.37585423e+00   3.359632   0.726241   0.899750   0.899750
    53 1.40685235e+00   3.368873   0.712433   0.899561   0.899561
    54 1.43809584e+00   3.377537   0.694340   0.899249   0.899249
    55 1.46959071e+00   3.385567   0.672616   0.898869   0.898869
    56 1.50128593e+00   3.392910   0.647469   0.898368   0.898368
    57 1.53318987e+00   3.399534   0.618488   0.897814   0.897814
    58 1.56534585e+00   3.405407   0.585942   0.897124   0.897124
    59 1.59775005e+00   3.410487   0.549333   0.896401   0.896401
    60 1.63037977e+00   3.414729   0.510830   0.895539   0.895539
    61 1.66322256e+00   3.418092   0.471550   0.894686   0.894686
    62 1.69631685e+00   3.420542   0.435283   0.893644   0.893644
    63 1.72965513e+00   3.422035   0.401950   0.892673   0.892673
    64 1.76322794e+00   3.422528   0.375174   0.891438   0.891438
    65 1.79704518e+00   3.421976   0.352011   0.890285   0.890285
    66 1.83111343e+00   3.420326   0.336360   0.888863   0.888863
    67 1.86542085e+00   3.417539   0.324710   0.887484   0.887484
    68 1.89995065e+00   3.413531   0.331061   0.885899   0.885899
    69 1.93476450e+00   3.408280   0.363173   0.884039   0.884039
    70 1.96983516e+00   3.402173   0.394699   0.882050   0.882050
    71 2.00513178e+00   3.395384   0.433357   0.880224   0.880224
    72 2.04065905e+00   3.387929   0.473269   0.878518   0.878518
    73 2.07646299e+00   3.379819   0.495533   0.877082   0.877082
    74 2.11255985e+00   3.371103   0.521892   0.875851   0.875851
    75 2.14889085e+00   3.361849   0.551537   0.874961   0.874961
    76 2.18545787e+00   3.352141   0.568916   0.874274   0.874274
    77 2.22228718e+00   3.342070   0.585629   0.873839   0.873839
    78 2.25943981e+00   3.331720   0.597666   0.873467   0.873467
    79 2.29683682e+00   3.321168   0.602194   0.873304   0.873304
    80 2.33447771e+00   3.310476   0.614843   0.873169   0.873169
    81 2.37236149e+00   3.299691   0.628158   0.873193   0.873193
    82 2.41059631e+00   3.288849   0.646457   0.873116   0.873116
    83 2.44908885e+00   3.277977   0.672288   0.873209   0.873209
    84 2.48783299e+00   3.267092   0.685743   0.873192   0.873192
    85 2.52682984e+00   3.256207   0.698538   0.873378   0.873378
    86 2.56615562e+00   3.245334   0.707762   0.873348   0.873348
    87 2.60577506e+00   3.234480   0.706962   0.873578   0.873578
    88 2.64565339e+00   3.223651   0.714473   0.873545   0.873545
    89 2.68579276e+00   3.212856   0.725496   0.873882   0.873882
    90 2.72624230e+00   3.202101   0.735160   0.873822   0.873822
    91 2.76702312e+00   3.191393   0.737256   0.874237   0.874237
    92 2.80807041e+00   3.180738   0.729858   0.874127   0.874127
    93 2.84938663e+00   3.170146   0.727136   0.874701   0.874701
    94 2.89099007e+00   3.159625   0.728023   0.874535   0.874535
    95 2.93296597e+00   3.149184   0.719806   0.875241   0.875241
    96 2.97521676e+00   3.138836   0.727228   0.874968   0.874968
    97 3.01774363e+00   3.128594   0.742768   0.875826   0.875826
    98 3.06054765e+00   3.118473   0.740999   0.875802   0.875802
    99 3.10373975e+00   3.108495   0.731174   0.876638   0.876638
   100 3.14722927e+00   3.098680   0.739953   0.876765   0.876765
   101 3.19100194e+00   3.089053   0.752755   0.877660   0.877660
   102 3.23505984e+00   3.079638   0.743595   0.877981   0.877981
   103 3.27948245e+00   3.070460   0.724479   0.878952   0.878952
   104 3.32424650e+00   3.061544   0.707834   0.879413   0.879413
   105 3.36930367e+00   3.052914   0.703674   0.880468   0.880468
   106 3.41465501e+00   3.044593   0.708943   0.881057   0.881057
   107 3.46034379e+00   3.036604   0.698990   0.882185   0.882185
   108 3.50642039e+00   3.028970   0.684630   0.882846   0.882846
   109 3.55279837e+00   3.025060   0.668096   0.882087   0.882087
   110 3.59947883e+00   3.115795   0.620983   0.827042   0.827042
   111 3.64647187e+00   3.205924   0.575388   0.775864   0.775864
   112 3.69389857e+00   3.285951   0.534259   0.732204   0.732204
   113 3.74163464e+00   3.350002   0.560641   0.699046   0.699046
   114 3.78968307e+00   3.396203   0.686902   0.675347   0.686902
   115 3.83804628e+00   3.425697   0.859357   0.660765   0.859357
   116 3.88683293e+00   3.466314   0.900000   0.641150   0.900000
   117 3.93596862e+00   3.445013   0.891396   0.650584   0.891396
   118 3.98542616e+00   3.439177   0.846894   0.652658   0.846894
   119 4.03520656e+00   3.424184   0.816644   0.659844   0.816644
   120 4.08538772e+00   3.399866   0.793227   0.670965   0.793227
   121 4.13596247e+00   3.365896   0.769326   0.687880   0.769326
   122 4.18686796e+00   3.322332   0.747181   0.709189   0.747181
   123 4.23810610e+00   3.269897   0.734937   0.736812   0.736812
   124 4.28971742e+00   3.209948   0.736664   0.768330   0.768330
   125 4.34177571e+00   3.144157   0.744489   0.805778   0.805778
   126 4.39417508e+00   3.074053   0.748771   0.845942   0.845942
   127 4.44691685e+00   3.008039   0.733254   0.887331   0.887331
   128 4.50000213e+00   3.013950   0.671170   0.885463   0.885463
   129 4.55308435e+00   3.020157   0.605605   0.885774   0.885774
   130 4.60582505e+00   3.026626   0.554229   0.884258   0.884258
   131 4.65822437e+00   3.033331   0.513967   0.884460   0.884460
   132 4.71028285e+00   3.040248   0.479268   0.883241   0.883241
   133 4.76189416e+00   3.047354   0.429543   0.883402   0.883402
   134 4.81313230e+00   3.054629   0.353836   0.882389   0.882389
   135 4.86403904e+00   3.062051   0.219193   0.882519   0.882519
   136 4.91461561e+00   3.069595   0.193343   0.881701   0.881701
   137 4.96479432e+00   3.077236   0.351709   0.881833   0.881833
   138 5.01457419e+00   3.084947   0.443475   0.881207   0.881207
   139 5.06403164e+00   3.092699   0.499880   0.881403   0.881403
   140 5.11316739e+00   3.100463   0.528998   0.880996   0.880996
   141 5.16195424e+00   3.108215   0.541279   0.881290   0.881290
   142 5.21031727e+00   3.115930   0.548642   0.881068   0.881068
   143 5.25836549e+00   3.123588   0.569143   0.881448   0.881448
   144 5.30610156e+00   3.131172   0.611310   0.881373   0.881373
   145 5.35352866e+00   3.138668   0.642815   0.881814   0.881814
   146 5.40052149e+00   3.146061   0.604297   0.881816   0.881816
   147 5.44720204e+00   3.153341   0.465149   0.882277   0.882277
   148 5.49358005e+00   3.160496   0.332477   0.882328   0.882328
   149 5.53965646e+00   3.167517   0.258797   0.882837   0.882837
   150 5.58534503e+00   3.174399   0.244242   0.882941   0.882941
   151 5.63069633e+00   3.181142   0.251398   0.883513   0.883513
   152 5.67575360e+00   3.187751   0.264648   0.883642   0.883642
   153 5.72051781e+00   3.194237   0.274711   0.884237   0.884237
   154 5.76494042e+00   3.200613   0.259385   0.884278   0.884278
   155 5.80899833e+00   3.206898   0.286274   0.884808   0.884808
