# ═══════════════════════════════════════════════════════════════════════════════════════════════════
# Timing log — GILBM Periodic Hill (Re=5600, 129x257x129, 8 GPUs)
# Architecture: P0 v2 Buffer-first + Interior-MPI overlap, P1 16-dir packed MPI
# ═══════════════════════════════════════════════════════════════════════════════════════════════════
#
# Data types: [T] Total-cumul  [S] Session-cumul  [I] Interval(1000 steps)  [P] Point-sample
#
# Column definitions:
#   Step      [T] : Time step (1 iteration = 2 sub-steps: even+odd)
#   FTT       [T] : Flow-Through Time = step*dt/(LY/Uref)
#   GPU_min   [T] : Cumulative GPU time (min), CUDA Events, persists across restarts
#   Wall_min  [S] : Wall-clock since session start (min), MPI_Wtime
#   MLUPS     [P] : Instantaneous total MLUPS (8 GPUs), Jin definition
#   MLUPS/GPU [P] : Instantaneous per-GPU MLUPS (compare to Jin's 825+)
#   MLUPS_avg [S] : Session-average total MLUPS
#   MLUPSa/GPU[S] : Session-average per-GPU MLUPS
#   GPU_int_s [I] : GPU time for last reporting interval (seconds)
#
#   ── P0 v2 Kernel Breakdown (7 columns) ──
#
#   Timeline:  |<- Buf ->|<- max(Int,MPI) ->|<- PSW ->|
#               Phase 1     Phase 2          Phase 3
#               Buffer      Interior(str0)   periodic
#               (alone)     MPI(host/str1)     SW
#                            concurrent
#
#   Iter = Buf + max(Int, MPI) + PSW + overhead
#   Idle = max(0, Iter - Buf - Int - PSW)  [= MPI exposed time]
#
#   Buf_ms  [P] : Phase1 - Buffer kernel alone (MPI_Wtime)
#                  Left j=3..6, Right j=NYD6-7..NYD6-4, 142 blocks
#   Int_ms  [P] : Phase2-GPU - Interior kernel (cudaEvent, stream0)
#                  j=7..NYD6-8, 25 rows, concurrent with MPI
#   MPI_ms  [P] : Phase2-Host - Pack+MPI+Unpack actual (MPI_Wtime)
#                  16-dir packed persistent, concurrent with Interior
#   PSW_ms  [P] : Phase3 - periodicSW kernel (cudaEvent, stream0)
#                  eta-periodic BC, 10/19 dirs (delta_eta!=0 only)
#   Iter_ms [P] : Full sub-step (cudaEvent, stream0)
#   Idle_ms [P] : * CORE METRIC * = max(0, Iter-Buf-Int-PSW)
#                  =0 -> overlap SUCCESS, MPI fully hidden
#                  >0 -> MPI partially exposed on critical path
#   MC_ms   [P] : Mass correction between even/odd sub-steps (MPI_Wtime)
#
# MLUPS (Jin et al. 2025): pts/GPU=710775, MLUPS/GPU comparable to Jin's 825+
#
# Quick diagnostics:
#   Idle ~ 0           -> P0 overlap OK, MPI fully hidden by Interior
#   Idle > 0           -> MPI exposed, need faster Interior or less MPI
#   Int >> MPI         -> GPU-bound (normal), overlap has headroom
#   Int << MPI         -> MPI-bound, need comm optimization
#   Iter ~ Buf+Int+PSW -> perfect overlap (Idle~0)
#
# Output: every 1000 steps
#
#      Step       FTT   GPU_min  Wall_min      MLUPS  MLUPS/GPU  MLUPS_avg MLUPSa/GPU GPU_int_s    Buf_ms    Int_ms    MPI_ms    PSW_ms   Iter_ms   Idle_ms     MC_ms
#       [-]       [-]     [min]     [min]    [MLU/s]    [MLU/s]    [MLU/s]    [MLU/s]     [sec]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]
# ───────────────────────────────────────────────────────────────────────────────────────────────────
     24001    0.1109      1.74      1.74    2427.25     303.41    2611.81     326.48     4.382     0.480     1.819     0.111     0.025     2.343     0.018     0.035
     25001    0.1155      1.82      1.82    2431.33     303.92    2608.20     326.03     4.505     0.482     1.815     0.112     0.025     2.339     0.018     0.043
     26001    0.1202      1.89      1.89    2432.46     304.06    2604.50     325.56     4.522     0.483     1.812     0.098     0.025     2.338     0.018     0.040
     27001    0.1248      1.97      1.97    2438.40     304.80    2603.34     325.42     4.419     0.482     1.807     0.111     0.025     2.332     0.018     0.034
     28001    0.1294      2.04      2.04    2423.01     302.88    2598.22     324.78     4.609     0.481     1.821     0.079     0.026     2.347     0.019     0.050
     29001    0.1340      2.12      2.12    2434.29     304.29    2598.26     324.78     4.375     0.484     1.809     0.111     0.024     2.336     0.019     0.052
     30001    0.1386      2.19      2.19    2439.34     304.92    2596.17     324.52     4.483     0.480     1.808     0.110     0.025     2.331     0.018     0.057
     31001    0.1433      2.27      2.27    2434.03     304.25    2593.60     324.20     4.515     0.482     1.808     0.095     0.027     2.336     0.019     0.044
     32001    0.1479      2.34      2.34    2430.86     303.86    2594.42     324.30     4.341     0.481     1.814     0.109     0.025     2.339     0.019     0.059
     33001    0.1525      2.41      2.41    2436.56     304.57    2595.44     324.43     4.327     0.481     1.810     0.112     0.025     2.334     0.018     0.048
     34001    0.1571      2.48      2.48    2424.20     303.02    2593.76     324.22     4.478     0.480     1.822     0.099     0.025     2.346     0.019     0.044
     35001    0.1618      2.56      2.56    2432.96     304.12    2594.55     324.32     4.337     0.484     1.810     0.110     0.025     2.337     0.018     0.049
     36001    0.1664      2.63      2.63    2442.02     305.25    2592.91     324.11     4.483     0.480     1.806     0.111     0.024     2.328     0.018     0.051
     37001    0.1710      2.70      2.70    2430.90     303.86    2593.67     324.21     4.338     0.485     1.812     0.110     0.025     2.339     0.018     0.056
     38001    0.1756      2.78      2.78    2418.56     302.32    2591.19     323.90     4.544     0.485     1.822     0.096     0.025     2.351     0.019     0.040
     39001    0.1802      2.86      2.86    2420.34     302.54    2589.14     323.64     4.524     0.482     1.823     0.098     0.026     2.349     0.019     0.053
     40001    0.1849      2.93      2.93    2433.13     304.14    2587.71     323.46     4.489     0.482     1.812     0.106     0.025     2.337     0.018     0.046
     41001    0.1895      3.00      3.00    2431.23     303.90    2587.24     323.40     4.428     0.485     1.810     0.096     0.026     2.339     0.018     0.052
     42001    0.1941      3.08      3.08    2418.59     302.32    2583.78     322.97     4.643     0.483     1.825     0.097     0.025     2.351     0.018     0.039
     43001    0.1987      3.15      3.15    2425.69     303.21    2583.91     322.99     4.392     0.482     1.819     0.098     0.024     2.344     0.018     0.034
     44001    0.2033      3.23      3.23    2417.17     302.15    2584.84     323.11     4.331     0.484     1.821     0.096     0.025     2.352     0.023     0.034
     45001    0.2080      3.30      3.30    2438.04     304.75    2583.49     322.94     4.503     0.483     1.805     0.110     0.026     2.332     0.018     0.035
     46001    0.2126      3.37      3.37    2431.16     303.90    2583.47     322.93     4.404     0.483     1.812     0.097     0.025     2.339     0.019     0.047
     47001    0.2172      3.45      3.45    2432.26     304.03    2581.28     322.66     4.577     0.485     1.810     0.093     0.025     2.338     0.018     0.053
